title,embed_url,question_text,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
The Big Bang Theory - Positive Reinforcement,https://www.youtube.com/embed/JA96Fba-WHk?start=0&end=88,Why does the girl get up to take her phone call?,She does it because the boys are watching TV and she does not want to bother him.,She does it because she can't hear in the room she is in.,She does it because she has bad phone reception in the room.,She does it because she doesn't want the boys to hear her conversation.
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,How might Kelly have reacted to Jim and Dwight if the cake had been decorated to her liking?,She would have been happy and appreciative.,She would have told them she doesn't like cake.,She would have thrown it at them.,She would have say that she was on a diet.
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,What did the guy take out of the refrigerator?,He took a cake out of the fridge,He took a sandwich for his lunch,He took out a beer.,He found a mouse and got rid of it.
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,What does Kelly think about her two coworkers in the clip?,She is upset with them for forgetting her birthday,She thought they were cute.,She is happy with them for knowing that she liked plain cake,She thought they stole something from the refrigerator
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,What might Jim have done differently to make Kelly happy?,He should have had the cake decorated.,He should have given her money.,He should have told her she liked what she was wearing.,He should have bought her a pie.
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,What might the woman (Kelly) do with the cake?,She might not eat it or throw it away.,She might take a picture of it and put it on Facebook.,She might take it for another party.,She would eat it because she was depressed.
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,Why was the cake given to Kelly without anything on it?,The guy in charge of the cake did not know how to spell her name.,They didn't have enough money to add anything to it.,because it was bought last minute,Kelly asked for a plain cake with nothing on it.
The Office (US) - Jim and Dwight's Party Planning,https://www.youtube.com/embed/RK78IKPzeNc?start=168&end=203,Why was the woman (Kelly) upset with the cake?,It wasn't decorated and didn't have her name on it.,It made her feel old because they thought it was her birthday.,Because it is too small,It didn't come from her favorite cake store.
The Devil Wears Prada - You Think This Has Nothing to Do with You,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169,How does the girl in the blue sweater feel after she is given the lecture from the older lady?,She feels embarrassed and ashamed.,She feels empowered and smart.,She feel happy because her boss compliments her.,She is filled with rage and throws papers at the older lady.
The Devil Wears Prada - You Think This Has Nothing to Do with You,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169,How does the woman with short gray hair feel about the lady in the blue sweater laughing?,She thinks she is our of her place/element.,She finds her cute and innocent.,The lady feels amused and invites her for tea.,The lady feels sad because the girl is laughing at her.
The Devil Wears Prada - You Think This Has Nothing to Do with You,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169,What two similar accessories is the older woman holding up?,Two teal belts,Two sets of earings.,Two purses,Two pairs of shoes
The Devil Wears Prada - You Think This Has Nothing to Do with You,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169,Where does the scene take place?,In an office,At the library,In a department store,Inside the woman's home
The Devil Wears Prada - You Think This Has Nothing to Do with You,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169,Why are the fashion designers upset at her snorting?,Because her reaction shows her lack of knowledge and respect for the fashion industry.,Because they don't like loud noises,Because she didn't wear a buisness suit but wore casual clothes.,because she chose the wrong animal sound.
The Devil Wears Prada - You Think This Has Nothing to Do with You,https://www.youtube.com/embed/vRP9ShmQrog?start=63&end=169,Why does the girl in the blue sweater snort at the woman holding the belts?,Because she finds it ridiculous that the others struggle to choose between two belts which looked identical to her.,She was superior in nature.,Because the other two made a funny joke,She had to sneeze
Hiden Figures - Car Trouble,https://www.youtube.com/embed/W1VZ1-ZdQ7k?start=25&end=92,What did the police officer ask from the women?,Identification.,Their full names.,Where they worked.,To slow down.
Hiden Figures - Car Trouble,https://www.youtube.com/embed/W1VZ1-ZdQ7k?start=25&end=92,Why did the cop talk to the women?,Their car was broken down on the side of the road.,They were breaking the law,He was looking for a criminal on the loose.,He wanted to harass them.
Hiden Figures - Car Trouble,https://www.youtube.com/embed/W1VZ1-ZdQ7k?start=25&end=92,Why did the police officer act surprised when the women told him they worked at NASA?,He didn't think NASA hired black women.,He didn't know NASA was nearby.,He didn't believe that NASA existed.,He thought NASA only hired people who were much older.
Hiden Figures - Car Trouble,https://www.youtube.com/embed/W1VZ1-ZdQ7k?start=25&end=92,"Why did the police officer ask the first woman if she was ""being disrespectful""?",Because she talked back to him,She didn't bow to him.,She rolled her eyes at him and sighed loudly.,She didn't call him by his full title.
Hiden Figures - Car Trouble,https://www.youtube.com/embed/W1VZ1-ZdQ7k?start=25&end=92,Why did the police officer look at the sky?,He believed the Russians were watching them.,He thought he heard an airplane fly overhead.,He thought it was going to rain.,He liked watching birds fly by.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,How did the boy in the backseat feel when his dad started talking?,He felt annoyed by it.,He was enjoying listening to his dad.,He wasn't paying attention to what his dad was saying at all.,He thought his dad was being funny.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,How did the father feel when he was talking to his kids?,He was feeling frustrated or stressed.,He was very giddy and excited.,He was angry because they got in trouble at school.,He was happy because they got good report cards.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,What bad habit did the dad quit?,He quit smoking.,he quit drinking,he quit gambling,He quit eating fast food.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,What do the kids want the dad to do?,They want him to keep busy and to tell them about his day if he expects them to tell him about their days.,They want him to get a job.,They want him to buy them Christmas presents.,They want him to play with them.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,What does the dad want the kids to do?,He wants them to talk to him tell him about how their days are going.,He wants them to eat dinner,He wants them to do their chores.,He wants them to obey their mother.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,Who are in the vehicle?,Two kids and their dad.,The mom and two kids.,"Two kids, their dad, and their mom.",A man and his dog.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,Why does Dad hold the boy by the shoulder?,Because he's trying to make a point and emphasize what he's trying to say.,Because he is angry.,Because the boy was being noisy and he wanted to calm him down.,Because the boy was jumping around in the back seat and he wanted to hold him still.
Boyhood - Talk to Me,https://www.youtube.com/embed/wu-yKaX1ZDY?start=0&end=68,Why was the question about the sculpture hard to answer for the girl?,Because it was very abstract,Because she hadn't actually started yet and wasn't sure what she was going to do.,because she didn't complete an art project,because it was from a long time ago
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,How do you think Morty feels about having to choose between his grandpa and his dad as the helper?,He probably feels frustrated and torn.,Excited to choose.,He is happy to have them around,He is probably annoyed that he needs a helper at all
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,What does Morty need help with?,He needs help with a project for the science fair.,He needs a ride.,He needs to make a robot.,He needs help with homework.
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,What is Morty thinking when his dad mentions crayons?,He considers his dad incompetent.,He thinks his dad is smart,He thinks he will do well with the science project.,He is glad his dad wants to help.
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,What might the dad think if Morty did not choose him to help?,That he’s incompetent and not respected by Morty.,That Morty thinks he is good at science.,He respects him so much he can't bear to be around him,He is intimidated by his genius
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,What was the purpose of the robot Rick made?,To pass butter.,To make breakfast,To prepare food.,To help with the science project.
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,Why did Morty end up choosing his dad to help him with the science project?,Because Morty's dad was insecure.,He liked his dad better.,He felt his dad was better at science.,Because Rick told him to.
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,Why did Morty first ask Rick for help instead of his dad?,He thought he was more competent and therefore more helpful.,Rick loves to help Morty.,He liked Rick better.,Rick owes Morty a favor.
Rick and Morty - You Pass Butter,https://www.youtube.com/embed/X7HmltUWXgs?start=0&end=60,What might the other family members think about Rick being rude to Summer?,The others may consider Rick unpleasant for not contributing to the family.,He was rude by being on the phone,They think he is cool.,Rick has bad table manners.
The Secret Life of Pets - the Best of Chloe,https://www.youtube.com/embed/YdroO0omUfg?start=7&end=38,What did the cat want from the fridge?,The roast chicken/turkey,The cat wanted the milk carton.,She wanted orange juice.,A can of tuna.
The Secret Life of Pets - the Best of Chloe,https://www.youtube.com/embed/YdroO0omUfg?start=7&end=38,Why did Chloe slap away her food dish?,She didn't like eating cat food,Chloe was angry at her owner.,She did it by accident.,Chloe wanted to move it to a different location.
The Secret Life of Pets - the Best of Chloe,https://www.youtube.com/embed/YdroO0omUfg?start=7&end=38,Why does Chloe keep opening and closing the door?,She is fighting the temptation to eat the turkey as she knows she might get in trouble for eating it.,She likes watching the light turn on and off.,Chloe was testing the door for squeaky hinges.,She is having trouble keeping it open.
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,How did the boys react when the father began to scold them?,The boys looked understandingly at each other and looked down in pretended embarrassment.,They got defensive,They started crying and begging for forgiveness.,They jumped up from the table and ran outside.
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Is the father really upset about the boys flying the car?,The father was not upset but had to comply with his wife’s position of scolding the kids.,Yes. He grounds the boys for a month as a punishment.,He was embarrassed that he raised a bad driver.,"No, he found a lot of humor in the incident."
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,What is the name of the boy with glasses?,Harry Potter,Sam,Voldermort,Timmy
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Where did the boys go in the car last night?,The boys went to Surrey.,The boys went to Hogwarts.,they went to London,The boys went to chamber of secrets.
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Where does the scene take place in the clip?,"The scene takes place at a dining room table, in a kitchen.",the bathroom.,in the living room.,The scene takes place at Hogawarts.
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Who comes in and sits down at the table?,Harry Potter,Ron's mom,Ron's brother,Ron's father
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Why did the boys react to their father’s scolding with a silent laugh?,Because they knew the father was not serious about his disapproval.,They were distracted and were cracking jokes.,Because they were making funny faces.,Because they thought the dad was being funny.
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Why did the mother hit the father on the arm?,The mother hit the father on the arm because he acted as if he approved of the boys flying the car to Surrey.,Because she was mad that he was late,Because he was rude to her.,Because she was angry at him for making bad jokes
Harry Potter and the Chamber of Secrets - Harry's first time at the Weasley's home (HD),https://www.youtube.com/embed/ZUl4amon00E?start=129&end=163,Why does Harry Potter apologize to the dad?,Because he hasn’t introduced himself right away.,Because he burped.,Because he needed to use the restroom,because he said something rude
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,Why did the dog stop barking the second time?,It remembered the human telling it to be quiet,The bird hissed at it.,The fisherman told it to be quiet again.,The bird was already gone again.
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,What does the fisherman do when he hears the dog?,He shushes the dog,He pets the dog,He ignores the dog.,He feeds the dog
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,What does the dog do when first seeing the bird?,The dog growls and barks.,The dog tries to eat the bird.,The dog runs away.,The dog chases the bird.
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,What did the bird pick up?,The bird picked up a worm.,The bird picked up the fisherman's sandwich,The bird picked up a frog.,The bird picked up the dog
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,Why did the owner shush the dog?,Because the owner is trying to fish and the dog's barks might scare away the fish.,Because the owner did not to wake up the neighbors,Because he didn't want the bird to get scared.,Because the owner was on the phone
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,Why did the bird come back?,The bird comes back to get another worm.,The bird came back to play with the dog,The bird comes back to grab the dog.,The bird comes back to steal a fish.
A Joy Story,https://www.youtube.com/embed/iR-JFks6uI0?start=40&end=80,Why does the bird steal a worm?,The bird wanted something to eat.,The bird wanted to set the worm free.,The bird wanted to go fishing.,The bird wanted to stop the fisherman from catching fish.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,Why has Edward spent so much time looking for the girl?,He finds her attractive and wants to marry her.,He knew her when they were younger.,She has something of his.,She is a long-lost family member.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,What might Edward Bloom do next?,He may move on but will never forget this woman.,He will marry her.,He might refuse to leave.,He will laugh happily.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,Why is Edward Bloom sad at the end?,The woman reveals that she is already engaged to be married.,He is kicked out by the woman.,He stumbles and falls and hurts himself.,The woman tells him it's not her that he's looking for.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,Why is the girl sorry?,She is sorry because she can't marry him and Edward had to endure all the trouble to find her.,She is sorry because she'd rather marry Edward.,She is sorry because she didn't come searching for him.,She is sorry because her family will disapprove of him.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,Why does the woman say she can't marry Edward Bloom?,The woman is already engaged to be married to someone else,She is not attracted to Edward.,She says she's never getting married because she doesn't believe in it.,She thinks it's creepy that he's been looking for her.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,Which town does Edward Bloom come from?,He comes from Ashton.,He comes from Alberta.,He comes from NewYork City,He comes from a foreign island
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,What is the woman wearing on her hand?,She is wearing a wedding ring.,She is wearing Edward's friendship ring.,She is wearing her new gloves.,She is wearing nothing on her hand.
Big Fish,https://www.youtube.com/embed/IdEekLJJc0o?start=0&end=90,What has Edward spent the last three years trying to do?,He has been trying to find out who the woman is.,He has been trying to make the football team.,He has been looking for a new job.,He's been searching for his father.
Christopher Robin,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63,What was Pooh standing on in the clip?,A park bench.,A drinking fountain.,A trash bin.,The ground.
Christopher Robin,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63,Why does Christopher Robin touch the bear?,"To see if the bear was real, because he couldn't believe his eyes.",He wants to see how soft he is.,To get his attention.,To see if he is ticklish.
Christopher Robin,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63,Who does Christopher Robin meet?,Winnie the Pooh,Donald Duck,His father,Mickey Mouse
Christopher Robin,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63,Where does this take place (happen)?,At a park,On a beach.,In a house,At the movies
Christopher Robin,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63,Has Pooh met this person before?,Yes. Judging from the level of their conversion.,"Possibly, but Christopher Robin isn't sure","No, but he's heard of him.","Maybe, but Pooh doesn't remember him."
Christopher Robin,https://www.youtube.com/embed/hdehfqahwkI?start=0&end=63,Was the man's reaction when he saw Pooh?,He was shocked.,He was amused.,He became very angry.,He got real shy and looked away.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,What instrument is the boy using to draw?,The boy is using a pencil to draw.,A paint brush.,A pen.,A crayon.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,Why did the little girl give a thumbs-up to the boy?,Because they both share a common interest.,To let him know this was his bus stop.,Because she liked his shirt.,Because he said something funny to her.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,What is the boy drawing on?,The boy is drawing on a notebook.,The boy is drawing on chalkboard.,The boy is drawing on a piece of paper on a clipboard.,The boy is drawing on the wall.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,What was the little girl drawing?,She was drawing the man seated across from her.,The bus driver.,She was drawing the trees outside.,She was drawing the bus.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,Why was the little girl sad at the end?,Her mom wouldn't pay attention to her by looking at what she drew.,Because the boy wouldn't look at her.,Because her favorite stuffed toy got stepped on.,Because her mom scolded her.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,Why is the man holding onto the strap?,The man is holding onto the strap to avoid falling as the bus continues to move.,So he can do pull-ups.,Because there are no empty seats.,Because the bus is going super fast.
Dear Alice,https://www.youtube.com/embed/phQDinMbmic?start=0&end=56,Where does the scene take place?,On a bus.,At school.,On a plane.,At a park.
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,Why was Benny upset at the table?,His family didn't believe him.,He was told to be quiet.,His big brother hit him.,He was denied dessert.
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,What animal did one of the kids reference as being in the sewer?,An alligator.,A frog.,A goldfish.,A dinosaur.
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,What did the boy actually see?,An alien,He saw a large monster in the sewer.,A zombie,A ghost
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,Why don't the parents and big brother believe Benny about what he saw?,They thought what the boy saw was too crazy to believe.,Because Benny has nightmares.,Because Benny is too young.,Because Benny lies a lot.
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,What is the little girl dressing up as for Halloween?,A cowgirl.,A taco,A fairy.,A dinosaur.
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,What is the family doing at the table?,They are eating dinner.,They are arm wrestling.,They are gambling.,They are playing Monopoly.
E.T..: The Extra-Terrestrial,https://www.youtube.com/embed/ewkroL1cP_Q?start=0&end=43,"Why does the big brother tell Benny ""maybe it was an Iguana""?",Because the big brother doesn't believe what Benny said he saw.,Because the big brother loves iguanas,Because Benny said it was green and iguanas are also green,The big brother thinks Benny is too young to know
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,Why did the principle suggest that the teachers make an arrangement?,The principal wants to avoid conflict among the staff,The principal feels it's not his responsibility to address.,The principal has another meeting he's going to be late for.,The principal likes having meetings.
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,Why were the older teachers controntational?,They felt that the young female teacher's insistence on retaining her rising students was a disregard for their seniority and privileges.,They didn't appreciate that the younger teacher was being paid more than them despite their seniority.,She had been trying to get them all fired.,They wanted to get paid more than her because of their seniority.
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,What program does the teacher not want to replace?,The distinguished scholars program.,The after school music program.,After school sports.,The arts program.
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,What does the young teacher want to do?,She wants to stay with her students when they rise.,She wants to transfer to another school.,Teach different students next year.,She wants her students to all get A's without taking a test.
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,How long has the young teacher been working at the school?,2 years,2 months,20 years,2 weeks
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,How did the older teachers feel?,They were very angry.,They were very excited.,They were glad that the new teacher was there.,They were very depressed.
Freedom Writers,https://www.youtube.com/embed/jA-BCSOaa4Q?start=0&end=60,What would the board of education think about the young teacher's request?,That it would be unfair to the teachers who have seniority and it would cause problems with teaching rotations.,That it was an excellent idea that should be immediately implemented.,That it would cause confusion among the student body.,That it would discourage students from coming to school.
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,Why did the 3 little penguins get out of line?,To avoid getting hit by the penguins tumbling before them.,They had to go to the bathroom.,To go for a swim.,To go after the egg that escaped.
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,What knocked the little penguins off of their feet?,An egg rolling down the hill.,A polar bear jumping on them.,The wind blew them down.,A tidal wave.
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,What happened in the beginning of the clip when the penguin in the front the line fell backwards off of the step?,It caused a domino effect and made the other penguins fall.,The other penguins ran away.,The other penguins laughed at him.,The other penguins jumped out of the way.
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,Why did the little penguin decide to slide towards the edge of the cliff?,To save the egg,To see how close they could get before they fell.,To go and talk to a leopard seal.,He tripped and didn't mean to.
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,Why did the little penguins try to fly in the beginning of the clip?,They wanted to see what's happening at the front of the line.,They wanted to get away from a seal.,They wanted to see if it could be done.,They wanted to show off to their friends
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,What do you think could've happened to the square penguin if his friends didn't catch him?,That the square penguin would have fallen off the cliff.,The square penguin would have been caught by a tiger.,That the square penguin would have flown away.,He could have caught the egg.
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,What animal are the main characters?,Penguins,Polar Bears.,Giraffes.,Tigers
Penguins of Madagascar,https://www.youtube.com/embed/P0hOTR509NQ?start=15&end=105,What item fell off the cliff and landed on the boat?,An egg,Another penguin.,A fish,A snowball
The Pursuit of Happiness - Rubik's Cube,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182,Why is Will Smith's character trying to do what he's doing?,He wants to prove his ability to the other man.,He wants to win a bet.,He wants the other man to pay for both their fare rides.,He wants to get an interview from the man.
The Pursuit of Happiness - Rubik's Cube,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182,What was Will Smith's character trying to do with the object he was playing with?,He was trying to solve it by matching all colors on the same side,Will Smith's character was trying to open the object he was playing with.,Will Smith's character was trying to close the object he was playing with.,Will Smith's character was trying to listen to the noises of the object he was playing with.
The Pursuit of Happiness - Rubik's Cube,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182,"Why did the other man say ""let me try?""",The other man believes he can solve the cube himself.,The other man believes he can win the contest on the radio,The other man believes he would be lucky in the game,The other man wanted to try to get an item unlocked that was jammed.
The Pursuit of Happiness - Rubik's Cube,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182,What is Will Smith's character playing with?,A Rubik's Cube,A yo-yo.,A jigsaw puzzle.,The power window button.
The Pursuit of Happiness - Rubik's Cube,https://www.youtube.com/embed/Q7Opgd7-dQ0?start=45&end=182,What does the person on the right think about what Will Smith's doing?,He didn't think Will Smith's character would be able to solve it.,He didn't think Will Smith's character would be able to pay his cab bill.,He thought Will Smith's character would get the cab driver to help him.,He switched it with a solved cube from his pocket.
